P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif
-2.18,0.27,16.60521298419211,-19.36,-5.94,15.81,0.08,-1.95,0.07,0.51,-0.26,0.59,10.20935542857143,-13.04,0.3,0.7,1.3,33.32,-30.19358475630441,-1.11,-3.02,-12.32,-3.72,-5.02,1.23,-2.16,13.030695948035882,128.45192,1,0,0.5940055002681158
-1.99,0.2,16.60521298419211,-79.11,-20.76,18.42,0.07,-1.87,0.06,0.32,-0.28,0.44,10.20935542857143,-45.67,0.37,0.63,1.47,34.2,-30.19358475630441,-0.27,-2.87,-10.13,-3.73,-1.4,1.3,-1.66,13.030695948035882,172.552582,1,0,0.8600405759213733
-1.99,0.2,16.60521298419211,-79.11,-20.76,18.42,0.07,-1.87,0.06,0.32,-0.28,0.44,10.20935542857143,-45.67,0.37,0.63,1.47,34.2,-30.19358475630441,-0.27,-2.87,-10.13,-3.73,-1.4,1.3,-1.66,13.030695948035882,172.552582,1,0,0.8600405759213733
1.5,0.27,16.60521298419211,56.73517328028479,-1.41,18.34,0.08,3.28,0.08,0.36,-0.38,0.93,10.20935542857143,-4.88,0.3,0.7,1.64,31.7,-30.19358475630441,-5.63,5.29,17.87,5.35,-11.25,1.01,2.53,8.96,225.753387,1,0,0.5689922162718205
1.5,0.27,16.60521298419211,56.73517328028479,-1.41,18.34,0.08,3.28,0.08,0.36,-0.38,0.93,10.20935542857143,-4.88,0.3,0.7,1.64,31.7,-30.19358475630441,-5.63,5.29,17.87,5.35,-11.25,1.01,2.53,8.96,225.753387,1,0,0.5689922162718205
32.06,0.39,16.60521298419211,18.08,4.37,16.52,0.1,0.2,0.1,0.47,-0.43,1.11,10.20935542857143,12.45,0.25,0.75,1.37,35.39,-30.19358475630441,2.32,0.32,1.22,0.31,1.97,0.97,7.85,-35.48,908.963623,1,0,0.1898344198093393
32.06,0.39,16.60521298419211,18.08,4.37,16.52,0.1,0.2,0.1,0.47,-0.43,1.11,10.20935542857143,12.45,0.25,0.75,1.37,35.39,-30.19358475630441,2.32,0.32,1.22,0.31,1.97,0.97,7.85,-35.48,908.963623,1,0,0.1898344198093393
57.03,1.44,16.60521298419211,22.55,15.12,18.03,0.56,0.46,0.35,1.86,-1.97,0.82,10.20935542857143,8.6,0.39,0.61,1.73,42.14,-30.19358475630441,2.29,0.61,2.53,0.98,4.82,1.62,8.991378868978357,13.030695948035882,908.263611,1,0,0.24855491760970705
57.03,1.44,16.60521298419211,22.55,15.12,18.03,0.56,0.46,0.35,1.86,-1.97,0.82,10.20935542857143,8.6,0.39,0.61,1.73,42.14,-30.19358475630441,2.29,0.61,2.53,0.98,4.82,1.62,8.991378868978357,13.030695948035882,908.263611,1,0,0.24855491760970705
-0.57,-0.11,16.60521298419211,56.73517328028479,-0.75,-24.55,0.11,-4.94,1.43,-0.09,-0.12,0.824658251231527,0.01,0.01,-0.98,2.03,0.03,48.06,-181.39,-190.02,-251.06,-20.13,-19.65,14.89,0.08,-24.22,13.030695948035882,2.35,1,0,1.2170212765957447
-0.32,-0.12,16.60521298419211,56.73517328028479,-0.4,-19.75,0.09,-7.44,0.47,-0.08,-0.09,0.824658251231527,0.01,0.01,-0.76,1.8,0.04,65.71,-112.61,-117.2,-150.19,-37.65,-28.61,28.4,0.19,-11.72,13.030695948035882,1.91,1,0,1.4764397905759161
-0.37,-0.16,16.60521298419211,56.73517328028479,-0.98,-12.32,0.07,-5.14,0.45,-0.08,-0.08,0.824658251231527,-0.11,-0.12,-0.47,1.51,0.04,62.58,-47.59,-45.44,-120.29,-41.76,-19.58,15.48,0.16,-12.85,13.030695948035882,2.69,1,0,0.8736059479553904
-1.23,-0.42,16.60521298419211,56.73517328028479,-3.17,-6.42,0.09,-2.18,0.42,-0.2,-0.1,0.824658251231527,-1.9,-0.48,-0.22,1.24,0.13,57.5,-3.35,-13.29,-34.16,-34.02,-7.42,13.46,0.22,-2.98,13.030695948035882,3.31,1,0,0.5770392749244713
