P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif_disc
12.34,0.3,16.60521298419211,27.46,10.7,8.19,0.14,0.2,0.64,0.41,-0.38,0.46,10.20935542857143,16.76,0.46,0.54,2.11,26.43,-30.19358475630441,5.95,5.16,2.41,1.1,1.62,0.21,-15.76,-22.4,15.81928,1,0,0.0
12.34,0.3,16.60521298419211,27.46,10.7,8.19,0.14,0.2,0.64,0.41,-0.38,0.46,10.20935542857143,16.76,0.46,0.54,2.11,26.43,-30.19358475630441,5.95,5.16,2.41,1.1,1.62,0.21,-15.76,-22.4,15.81928,1,0,0.0
-22.52,0.31,16.60521298419211,26.05,10.46,7.01,0.13,-0.1,0.61,0.4,-0.38,0.47,10.20935542857143,15.59,0.42,0.58,2.07,26.31,-30.19358475630441,5.8,-2.69,-1.39,-0.59,1.47,0.22,-12.16,13.030695948035882,25.289326,1,0,0.0
-22.52,0.31,16.60521298419211,26.05,10.46,7.01,0.13,-0.1,0.61,0.4,-0.38,0.47,10.20935542857143,15.59,0.42,0.58,2.07,26.31,-30.19358475630441,5.8,-2.69,-1.39,-0.59,1.47,0.22,-12.16,13.030695948035882,25.289326,1,0,0.0
1.76,0.48,16.60521298419211,6.38,3.81,7.36,0.19,2.0,0.62,0.51,-0.61,0.32,10.20935542857143,2.58,0.39,0.61,2.12,24.88,-30.19358475630441,16.2,34.96,27.19,10.6,6.36,0.3,7.35,31.37,33.790844,1,0,0.0
1.76,0.48,16.60521298419211,6.38,3.81,7.36,0.19,2.0,0.62,0.51,-0.61,0.32,10.20935542857143,2.58,0.39,0.61,2.12,24.88,-30.19358475630441,16.2,34.96,27.19,10.6,6.36,0.3,7.35,31.37,33.790844,1,0,0.0
24.57,3.76,14.2,19.28,19.2,8.74,2.59,1.34,3.09,12.72,-4.43,0.02,0.06,0.08,0.69,0.31,1.97,47.41,21.83,16.09,12.57,15.29,10.56,16.03,0.84,19.56,31.09,15.8,1,0,1.0
13.61,2.06,8.65,12.26,10.92,7.68,1.21,1.16,1.57,9.7,-1.86,0.25,0.95,1.35,0.59,0.41,1.55,43.19,20.44,14.42,11.56,15.12,8.89,13.14,0.77,22.63,39.31,13.95,1,0,2.0
10.03,1.65,7.55,10.19,9.43,8.47,1.01,1.39,1.51,4.88,-1.64,0.13,0.56,0.76,0.61,0.39,2.76,43.35,21.56,15.98,15.02,16.42,10.1,12.47,0.67,23.6,40.42,23.82,1,0,2.0
19.55,2.96,14.98,19.48,19.84,8.05,2.02,1.22,2.97,6.58,-3.48,-0.05,-0.27,-0.35,0.68,0.32,3.55,42.05,19.48,14.98,15.2,15.15,10.31,11.88,0.68,18.76,41.73,20.41,1,0,1.0
8.17,1.32,4.86,6.17,8.04,15.5,0.93,2.5,1.15,2.04,-2.3,-0.31,-1.47,-1.87,0.71,0.29,4.38,40.12,18.24,14.36,14.14,16.12,11.44,13.19,0.81,12.05,44.99,13.906666,1,0,2.0
-55.63,0.89,16.60521298419211,393.36,314.22,14.82,0.51,-0.24,1.98,1.19,-1.41,0.22,10.20935542857143,79.14,0.57,0.39,3.01,27.47,-30.19358475630441,0.63,-3.55,-1.6,-0.91,-0.54,0.26,-13.84,13.030695948035882,10.15,1,0,1.0
27.12,0.68,16.60521298419211,25.08,17.16,15.04,0.35,0.38,1.28,0.73,-1.04,0.31,10.20935542857143,7.92,0.51,0.43,3.48,33.25,-30.19358475630441,7.49,4.74,2.52,1.27,1.62,0.27,-12.21,-21.2,7.5,1,0,3.0
6.7,0.51,16.60521298419211,6.82,4.46,14.73,0.24,1.12,0.69,0.56,-0.7,0.27,10.20935542857143,2.36,0.46,0.48,2.78,34.62,-30.19358475630441,15.5,10.32,7.61,3.52,5.52,0.34,-2.35,-5.69,11.06,1,0,2.0
6.97,0.81,16.60521298419211,7.51,4.8,13.58,0.34,1.59,0.79,1.01,-0.96,0.46,10.20935542857143,2.71,0.42,0.53,2.13,32.12,-30.19358475630441,16.51,11.37,11.69,4.93,7.96,0.43,7.31,-1.93,14.4,1,0,1.0
8.47,1.12,16.60521298419211,8.73,6.08,12.91,0.42,1.7,1.13,1.27,-1.07,0.49,10.20935542857143,2.65,0.38,0.57,2.24,32.75,-30.19358475630441,18.65,13.38,13.16,5.0,8.32,0.37,13.54,20.95,17.889999,1,0,0.0
29.1,8.2,12.66,14.51,13.32,5.91,1.36,1.67,5.5,9.28,-5.69,0.73,1.03,1.18,0.16,0.84,1.23,100.0,47.27,41.26,18.89,28.19,4.51,22.65,0.24,13.71,61.93,23.65,1,0,0.0
17.91,5.08,6.87,7.79,7.25,4.67,0.96,1.32,2.99,10.94,-4.62,0.38,0.48,0.54,0.19,0.78,1.12,100.0,46.81,41.3,16.7,28.36,5.34,33.57,0.32,12.29,10.09,13.5,1,0,1.0
10.59,3.19,4.73,5.12,4.72,4.24,0.64,1.27,2.06,5.79,-2.72,0.27,0.37,0.4,0.2,0.77,1.17,100.0,47.16,43.59,19.41,30.07,6.01,33.68,0.31,12.5,17.97,15.5,1,0,3.0
13.8,4.38,5.58,6.05,6.2,3.54,0.88,1.12,2.81,11.33,-6.69,-0.11,-0.14,-0.16,0.2,0.8,1.1,100.0,49.13,45.36,20.4,31.76,6.35,53.31,0.31,8.991378868978357,13.030695948035882,15.3,1,0,3.0
-26.42,2.66,30.8,66.26,44.84,13.79,0.66,-1.39,1.05,6.95,-1.14,1.27,9.96,21.42,0.25,0.74,1.29,20.18,5.04,2.34,-3.98,-10.05,-2.49,1.28,0.63,1.74,13.030695948035882,48.029999,1,0,0.0
-105.27,3.31,28.2,28.2,21.6,14.57,0.91,-0.46,1.16,6.27,-1.63,0.98,6.6,6.6,0.28,0.72,2.723425095370657,22.31,5.38,5.38,-1.1,-3.05,-0.87,5.66,0.79,5.59,13.030695948035882,55.400002,1,0,0.0
15.54,3.58,11.08,13.58,11.43,15.49,1.2,3.57,1.5,6.39,-2.28,0.67,1.75,2.15,0.33,0.66,1.65,31.34,16.1,13.13,9.66,23.02,7.7,13.23,0.8,7.26,31.08,63.439999,1,0,0.0
24.88,3.55,14.12,17.35,15.91,17.87,1.53,2.55,1.91,6.99,-2.97,0.32,1.17,1.44,0.43,0.57,1.83,29.34,14.73,11.99,7.67,14.27,6.16,11.46,0.8,12.77,78.43,48.830002,1,0,0.0
40.44,2.93,19.17,26.14,22.66,16.8,1.33,1.22,1.55,8.94,-2.25,0.45,2.55,3.48,0.45,0.55,1.57,24.87,9.3,6.82,3.82,7.25,3.28,7.1,0.86,8.991378868978357,13.030695948035882,42.189999,1,0,0.0
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.637188375012069,7.512599199733244,119993.89719612764,110018.74129170092,0.2,10.20935542857143,1.38,0.49,0.32,1.61,76.58,-30.19358475630441,107.76,39.01,5.35,2.6,6.87,0.07,6.68,-5.69,17.4,1,0,1.0
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.637188375012069,7.512599199733244,119993.89719612764,110018.74129170092,0.23,10.20935542857143,1.44,0.5,0.31,1.39,75.35,-30.19358475630441,112.9,28.14,3.89,1.93,7.28,0.07,9.32,-16.05,16.18,1,0,2.0
